Trust exercise , Susan Choi.,First Edition.,2019,Performing arts high schools--Fiction.; High school students--Fiction.; Interpersonal relations--Fiction.; FICTION / Literary.; Romance fiction.; Love stories.
In search of deeper learning : the quest to remake the American high school , Jal Mehta and Sarah Fine.,,2019,High schools--United States--Administration--Case studies.; High school environment--United States--Case studies.; Educational change--United States--Case studies; School improvement programs--United States--Case studies.; Public schools--United States--Case studies.; Education--Aims and objectives--United States--Case studies.; Education--Aims and objectives.; Education--Experimental methods.; Educational change.; High school environment.; High schools--Administration.; Public schools; School improvement programs.; United States; Case studies.
Varro : de lingua latina , edited and translated by Wolfgang David Cirilo de Melo.,,2019,"Varro, Marcus Terentius--Criticism and interpretation.; Latin language--Grammar--Early works to 1500; Linguistics--Rome--Early works to 1800.; Latin language--Grammar; Early works"
Lost and wanted : a novel , Nell Freudenberger.,First edition.,2019,FICTION / Literary.; FICTION / Contemporary Women.; FICTION / Family Life.; Physicists--Fiction.; Female friendship--Fiction.; Domestic fiction.
knowledge economy , Roberto Mangabeira Unger.,,2019,Knowledge management.; Information technology--Management; Technological innovations--Economic aspects; Technology and state.; Education and state.; POLITICAL SCIENCE / Economic Conditions.; POLITICAL SCIENCE / History & Theory.; POLITICAL SCIENCE / Political Ideologies / Communism & Socialism.; Knowledge economy.
"Stony the road : Reconstruction, white supremacy, and the rise of Jim Crow "," Henry Louis Gates, Jr.",,2019,"African Americans--Segregation--History.; Reconstruction (U.S. history, 1865-1877); African Americans--History--1863-1877.; African Americans--History--1877-1964.; White supremacy movements--United States--History.; Racism in popular culture--United States--History.; Visual communication--Social aspects--History.--United States; African Americans.; African Americans--Segregation.; Race relations.; Racism in popular culture.; Visual communication--Social aspects.; White supremacy movements.; HISTORY / United States / Civil War Period (1850-1877).; SOCIAL SCIENCE / Ethnic Studies / African American Studies.; HISTORY / African American.; United States--Race relations--History--19th century.; United States--Race relations--History--20th century.; United States; United States.; Reconstruction (United States : 1865-1877); History.; 1800-1999"
new silk roads : the present and future of the world , Peter Frankopan.,First American edition.,2019,POLITICAL SCIENCE--Government--International.; HISTORY--Modern--21st Century.; POLITICAL SCIENCE--Globalization.; Asian cooperation.; East and West.; Economic history.; International economic integration.; International economic relations.; Asia--Foreign economic relations; Asia--Economic integration; Asia--Economic conditions--21st century.; Asia; 2000-2099
Deaf republic : poems , Ilya Kaminsky.,,2019,Deafness--Poetry.; Sign language--Poetry.; Political violence--Poetry.; American poetry--21st century.; Poetry.
"Maybe you should talk to someone : a therapist, her therapist, and our lives revealed ", Lori Gottlieb.,,2019,"Gottlieb, Lori--Health.; Gottlieb, Lori.; Psychotherapists--Biography.; Therapist and patient--Biography.; PSYCHOLOGY / Psychotherapy / General.; BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs.; SELF-HELP / Personal Growth / Happiness.; FAMILY & RELATIONSHIPS / Love & Romance.; Health.; Psychotherapists.; Therapist and patient.; Psychotherapy; Physician-Patient Relations.; Patients; Autobiography; Biographies.; Biography."
"adjunct underclass : how America's colleges betrayed their faculty, their students, and their mission ", Herb Childress.,,2019,"College teachers, Part-time--United States.; Universities and colleges--United States--Faculty.; Education, Higher--United States.; College teachers, Part-time.; Education, Higher.; Universities and colleges--Faculty; United States"
Cambridge grammar of medieval and early modern Greek ," David Holton, Geoffrey Horrocks, Marjolijne Janssen, Tina Lendari, Io Manolessou, Notis Toufexis.",,2019,"Greek language, Medieval and late--Grammar.; Greek language, Medieval and late--Grammar; Greek language, Modern--Grammar"
Why they marched : untold stories of the women who fought for the right to vote , Susan Ware.,,2019,Women--Suffrage--History.--United States; Suffragists--United States--History.; United States.; POLITICAL SCIENCE / Government / General.; Suffragists.; Women--Suffrage.; United States; History.
"Bored, lonely, angry, stupid : changing feelings about technology, from the telegraph to Twitter ", Luke Fernandez and Susan J. Matt.,,2019,Technology--Social aspects--United States; Technology--United States--Psychological aspects.; Technological innovations--Social aspects--United States; Technological innovations--United States--Psychological aspects.; Technological innovations--Psychological aspects.; Technological innovations--Social aspects.; Technology--Psychological aspects.; Technology--Social aspects.; United States
"Eyewitness to Old St. Peter's : a study of Maffeo Vegio's ""Remembering the ancient history of St. Peter's Basilica in Rome,"" with translation and a digital reconstruction of the church "," Christine Smith, Harvard University; Joseph F. O'Connor, Catholic University of America.",,2019,"Basilica di San Pietro in Vaticano--History.; Vegio, Maffeo,--1406 or 1407-1458.--De rebus antiquis memorabilibus basilicae S. Petri Romae.; Church architecture--Vatican City--History.; Church decoration and ornament--Vatican City--History.; Lost architecture--Vatican City.; Vatican City--Antiquities; Vatican City--Buildings, structures, etc.; ART / General.; Basilica di San Pietro in Vaticano.; Antiquities.; Buildings.; Church architecture.; Church decoration and ornament.; Lost architecture.; Vatican City.; Vegius, Mapheus--1406-1458; Vegius, Mapheus--1406-1458--De rebus memorabilibus basilicae Sancti Petri Romae; Geschichtsschreibung; Verlorene Architektur; Alt Sankt Peter--Rom; History."
socialist manifesto : the case for radical politics in an era of extreme inequality , Bhaskar Sunkara.,First edition.,2019,Socialism--United States.; Equality--United States.; Equality.; Socialism.; United States
Falter : has the human game begun to play itself out? , Bill McKibben.,First edition.,2019,"Civilization, Modern--21st century.; Civilization, Modern.; Climatic changes.; Human ecology.; Nature--Effect of human beings on.; Technology and civilization.; 2000-2099"
Good enough : the tolerance for mediocrity in nature and society , Daniel S. Milo.,,2019,Evolution (Biology); Imperfection.; Natural selection.; Social evolution.; SCIENCE / Life Sciences / Biology / General.
China and Japan : facing history , Ezra F. Vogel.,,2019,China--Relations--Japan; Japan--Relations--China; China--Foreign relations--Japan; Japan--Foreign relations--China; China--Civilization--Japanese influences; Japan--Civilization--Chinese influences; Civilization--Chinese influences; Civilization--Japanese influences; Diplomatic relations; International relations; China; Japan
"public option : how to expand freedom, increase opportunity, and promote equality ", Ganesh Sitaraman and Anne L. Alstott.,,2019,Public administration--United States; Government ownership--United States; Government property--United States; Public interest--United States; Economic policy; Government ownership; Government property; Politics and government; Public administration; Public interest; United States--Politics and government; United States--Economic policy; United States
end of forgetting : growing up with social media , Kate Eichhorn.,,2019,Social media--Psychological aspects.; Internet and children; Internet and youth; Online identities; SOCIAL SCIENCE / Sociology / General.
unpassing , Chia-Chia Lin.,First edition.,2019,Taiwanese Americans--Alaska--Fiction.; Immigrants--Fiction.; Children--Death--Fiction.; Grief--Fiction.; FICTION / Literary.; FICTION / Asian American.; FICTION / Small Town & Rural.; Children--Death; Grief; Immigrants; Taiwanese Americans; Alaska--Fiction.; Alaska; Domestic fiction; Fiction; Domestic fiction.
flight portfolio , Julie Orringer.,First edition.,2019,"Fry, Varian,--1907-1967--Fiction.; Fry, Varian,--1907-1967.; World War (1939-1945); World War, 1939-1945--France--Fiction.; World War, 1939-1945--Refugees--Fiction.; Jewish refugees--Fiction.; FICTION / Historical.; FICTION / Literary.; Jewish refugees.; Refugees.; France; 1939-1945; Fiction.; Historical fiction; Historical fiction.; Biographical fiction."
Everything in its place : first loves and last tales , Oliver Sacks.,First edition.,2019,"Neurologists--Biography.; Sacks, Oliver,--1933-2015; Neurologists; Physicians.; SCIENCE--Life Sciences--Neuroscience.; PSYCHOLOGY--Neuropsychology.; MEDICAL--Essays.; Sacks, Oliver,--1933-2015.; Neurologists.; Sacks, Oliver W.--1933-2015; Autobiography; Biographies.; Autobiographies; Biographies; Autobiographies."
Upheaval : turning points for nations in crisis , Jared Diamond.,First edition.,2019,Social history--Case studies.; Social change--Case studies.; Crisis management--Case studies.; HISTORY / Social History.; HISTORY / World.; POLITICAL SCIENCE / Genocide & War Crimes.
Forgotten healers : women and the pursuit of health in Late Renaissance Italy , Sharon T. Strocchia.,,2019,Women healers--Italy--History--16th century.; Women healers--Italy--History--17th century.; Women in medicine--Italy--History--16th century.; Women in medicine--Italy--History--17th century.; Medical care--Italy--History--16th century.; Medical care--Italy--History--17th century.; Medicine--Italy--History--16th century.; Medicine--Italy--History--17th century.; Medical care; Medicine; Women healers; Women in medicine; Italy; 1500-1699; History
theology of liberalism : political philosophy and the justice of God , Eric Nelson.,,2019,Liberalism--Religious aspects--Christianity.; Liberalism.; Religion and politics.; Pelagianism.; RELIGION / Philosophy.; Liberalism; Liberalism--Religious aspects--Christianity; Pelagianism; Religion and politics
City on a hill : urban idealism in America from the Puritans to the present , Alex Krieger.,,2019,City planning--United States--History; Utopias--United States--History.; Cities and towns--United States--History; Cities and towns; City planning; Utopias; United States; History
"Capitalism, alone : the future of the system that rules the world ", Branko Milanovic.,,2019,Capitalism; Globalization; International economic relations
